,precision,recall,f1-score,support
sugarcane::Healthy,1.0,0.9714285714285714,0.9855072463768116,70.0
sugarcane::Mosaic virus,0.9387755102040817,1.0,0.968421052631579,46.0
sugarcane::Pokkah boeng,0.3333333333333333,0.5,0.4,2.0
sugarcane::Red rot,1.0,1.0,1.0,75.0
sugarcane::Rust,0.9705882352941176,1.0,0.9850746268656716,66.0
sugarcane::Sett rot,1.0,1.0,1.0,16.0
sugarcane::Smut,1.0,0.4,0.5714285714285714,5.0
sugarcane::Yellow leaf disease,0.9924812030075187,0.9705882352941176,0.9814126394052045,136.0
sunflower::Downy mildew,0.9764705882352941,0.9880952380952381,0.9822485207100592,84.0
sunflower::Gray mold,1.0,1.0,1.0,65.0
sunflower::Healthy,1.0,1.0,1.0,97.0
sunflower::Leaf scars,0.9896907216494846,0.9795918367346939,0.9846153846153847,98.0
tea::Algal leaf spot,0.9324324324324325,0.971830985915493,0.9517241379310345,142.0
tea::Blister blight,1.0,1.0,1.0,43.0
tea::Brown blight,0.9076923076923077,0.9147286821705426,0.9111969111969112,129.0
tea::Gray blight,0.9510869565217391,0.9358288770053476,0.9433962264150944,187.0
tea::Green mirid bug (pest),0.8970588235294118,0.953125,0.9242424242424242,64.0
tea::Healthy,0.9825581395348837,0.9883040935672515,0.9854227405247813,171.0
tea::Red leaf spot,1.0,0.9904761904761905,0.9952153110047847,105.0
tea::Red rust (algal),1.0,1.0,1.0,8.0
tea::Red spider mite (pest),0.9732142857142857,0.9396551724137931,0.956140350877193,116.0
tea::Tea mosquito bug (helopeltis),0.9743589743589743,0.9344262295081968,0.9539748953974896,122.0
tobacco::Brown spot,0.7142857142857143,0.5555555555555556,0.625,9.0
tobacco::Healthy,0.7333333333333333,1.0,0.8461538461538461,11.0
tobacco::Mosaic virus,0.6153846153846154,0.6666666666666666,0.64,12.0
tomato::Bacterial spot,0.9644012944983819,0.861271676300578,0.9099236641221374,346.0
tomato::Blossom end rot,0.85,1.0,0.918918918918919,17.0
tomato::Early blight,0.8044280442804428,0.8384615384615385,0.8210922787193974,260.0
tomato::Fruit borer (pest),0.9512195121951219,1.0,0.975,39.0
tomato::Healthy,0.9424242424242424,0.9569230769230769,0.9496183206106871,325.0
tomato::Late blight,0.9532163742690059,0.9131652661064426,0.932761087267525,357.0
tomato::Leaf miner (pest),0.8992805755395683,0.9615384615384616,0.929368029739777,130.0
tomato::Leaf mold,0.9447513812154696,0.9771428571428571,0.9606741573033708,175.0
tomato::Magnesium deficiency,0.9795918367346939,0.9795918367346939,0.9795918367346939,49.0
tomato::Mosaic virus,0.7763157894736842,0.8194444444444444,0.7972972972972973,72.0
tomato::Nitrogen deficiency,0.8823529411764706,1.0,0.9375,15.0
tomato::Potassium deficiency,1.0,1.0,1.0,4.0
tomato::Septoria leaf spot,0.9209302325581395,0.9588377723970944,0.9395017793594306,413.0
tomato::Spider mites (pest),0.9895833333333334,0.9726962457337884,0.9810671256454389,293.0
tomato::Spotted wilt virus,0.8311688311688312,0.8648648648648649,0.847682119205298,74.0
tomato::Sunscald,0.8888888888888888,1.0,0.9411764705882353,8.0
tomato::Target spot,0.9753694581280788,1.0,0.9875311720698254,198.0
tomato::Yellow leaf curl virus,0.9627329192546584,0.8908045977011494,0.9253731343283582,348.0
turmeric::Aphid (pest),1.0,1.0,1.0,30.0
turmeric::Dry leaf,1.0,1.0,1.0,27.0
